available	categoryId	currencyId	delivery	description	id	name	oldprice	param	pickup	price	store	vendor
1	1255	RUB	true	110-01-IG-16-PP Обувь Полуботинки женские классические Синий верх Искусcтвенная кожа. подкладка Искусcтвенная кожа.	110-01-IG-16-PP	Материал	4999.00 RUB	Искусственный лак	true	1499.00 RUB	true	cs
1	1269	RUB	true	110-01-YNV-11-KK Босоножки, пол женский, золотистый, верх Натуральная кожа, подкладка Натуральная кожа	110-01-YNV-11-KK	Материал	6499.00 RUB	Натуральная кожа	true	1949.00 RUB	true	velvet
1	1262	RUB	true	1101-NVU-16-KU Обувь Кеды мужские Синий верх Натуральная кожа. подкладка Без подкладки.	1101-NVU-16-KU	Материал	4999.00 RUB	Натуральная кожа	true	1499.00 RUB	true	calipso
1	1255	RUB	true	111-01-IG-01-PP Обувь Полуботинки женские классические Черный верх Искусcтвенная кожа. подкладка Искусcтвенная кожа.	111-01-IG-01-PP	Материал	4999.00 RUB	Искусственный лак	true	1999.00 RUB	true	cs
1	1255	RUB	true	111-01-IG-05-PP Обувь Полуботинки женские классические Бордовый верх Искусcтвенная кожа. подкладка Искусcтвенная кожа.	111-01-IG-05-PP	Материал	4999.00 RUB	Искусственный лак	true	1499.00 RUB	true	cs
1	1281	RUB	true	112-18-SCJ-12-KK Босоножки, пол женский, серебристый, верх Натуральная кожа, подкладка Натуральная кожа	112-18-SCJ-12-KK	Материал	4999.00 RUB	Натуральная кожа	true	1499.00 RUB	true	velvet
1	1266	RUB	true	113-01-YNV-01-KK Босоножки, пол женский, черный, верх Натуральная кожа, подкладка Натуральная кожа	113-01-YNV-01-KK	Материал	4499.00 RUB	Натуральная кожа	true	1349.00 RUB	true	velvet
1	1276	RUB	true	114-01-TBS-06-KB Обувь Ботинки женские деми Белый верх Натуральная кожа. подкладка Байка.	114-01-TBS-06-KB	Материал	8999.00 RUB	Натуральная кожа	true	2499.00 RUB	true	calipso
1	1281	RUB	true	117-19-SCJ-06-PP Сабо, пол женский, белый, верх Искусственная кожа, подкладка Искусственная кожа	117-19-SCJ-06-PP	Материал	2999.00 RUB	Искусственная кожа	true	899.00 RUB	true	velvet
1	1276	RUB	true	119-01-TAL-01-KM Ботинки, пол женский, черный, верх Натуральная кожа, подкладка Натуральный мех	119-01-TAL-01-KM	Материал	10999.00 RUB	Натуральная кожа	true	5499.00 RUB	true	calipso
1	1276	RUB	true	119-01-TAL-15-KM Ботинки, пол женский, серый, верх Натуральная кожа, подкладка Натуральный мех	119-01-TAL-15-KM	Материал	10999.00 RUB	Натуральная кожа	true	5499.00 RUB	true	calipso
1	1297	RUB	true	122-01-TAL-01-KM Полусапоги, пол женский, черный, верх Натуральная кожа, подкладка Натуральный мех	122-01-TAL-01-KM	Материал	12499.00 RUB	Натуральная кожа	true	6249.00 RUB	true	calipso
1	1297	RUB	true	122-01-TAL-31-KM Полусапоги, пол женский, никель, верх Натуральная кожа, подкладка Натуральный мех	122-01-TAL-31-KM	Материал	12499.00 RUB	Натуральная кожа	true	6249.00 RUB	true	calipso
1	1308	RUB	true	125-01-RSH-16-NM Обувь Ботинки мужские спортивные мех Синий верх Натуральная кожа. подкладка Мех.	125-01-RSH-16-NM	Материал	7999.00 RUB	Натуральный нубук	true	2499.00 RUB	true	calipso
1	1276	RUB	true	125-01-TAL-01-NM Ботинки, пол женский, черный, верх Натуральный нубук, подкладка Натуральный мех	125-01-TAL-01-NM	Материал	12499.00 RUB	Натуральный нубук	true	6249.00 RUB	true	calipso
1	1308	RUB	true	128-01-RSH-01-KM Обувь Ботинки мужские спортивные мех Черный верх Натуральная кожа. подкладка Мех.	128-01-RSH-01-KM	Материал	7999.00 RUB	Натуральная кожа	true	2499.00 RUB	true	calipso
1	1269	RUB	true	132-04-ZC-06-KK Обувь Туфли женские открытые ремешковые Белый верх Натуральная кожа. подкладка Натуральная кожа.	132-04-ZC-06-KK	Материал	6999.00 RUB	Натуральная кожа	true	2099.00 RUB	true	calipso
1	1269	RUB	true	134-01-ZC-06-PK Обувь Туфли женские открытые ремешковые Белый верх Искусcтвенная кожа. подкладка Натуральная кожа.	134-01-ZC-06-PK	Материал	5999.00 RUB	Искусственная кожа	true	1799.00 RUB	true	calipso
1	1269	RUB	true	134-01-ZC-20-PK Обувь Туфли женские открытые ремешковые Фиолетовый верх Искусcтвенная кожа. подкладка Натуральная кожа.	134-01-ZC-20-PK	Материал	5999.00 RUB	Искусственная кожа	true	1799.00 RUB	true	calipso
1	1256	RUB	true	142-02-GL-07-VM Ботинки, пол женский, зеленый, верх Натуральный велюр, подкладка Натуральный мех	142-02-GL-07-VM	Материал	12499.00 RUB	Натуральный велюр	true	6249.00 RUB	true	calipso
1	1256	RUB	true	142-02-GL-15-VM Ботинки, пол женский, серый, верх Натуральный велюр, подкладка Натуральный мех	142-02-GL-15-VM	Материал	12499.00 RUB	Натуральный велюр	true	6249.00 RUB	true	calipso
1	1265	RUB	true	144-01-ZC-06-KK Обувь Полуботинки женские спортивные Белый+Черный верх Натуральная кожа. подкладка Натуральная кожа.	144-01-ZC-06-KK	Материал	8999.00 RUB	Натуральная кожа	true	2699.00 RUB	true	calipso
1	1265	RUB	true	144-02-ZC-01-VK Обувь Полуботинки женские спортивные Черный+бронза верх Натуральная кожа. подкладка Натуральная кожа.	144-02-ZC-01-VK	Материал	8999.00 RUB	Натуральный велюр	true	2699.00 RUB	true	calipso
1	1265	RUB	true	144-02-ZC-06-KK Обувь Полуботинки женские спортивные Белый+Салатовый верх Натуральная кожа. подкладка Натуральная кожа.	144-02-ZC-06-KK	Материал	8999.00 RUB	Натуральная кожа	true	2469.00 RUB	true	calipso
1	1347	RUB	true	144-06-ZC-01-VT Сникерсы, пол женский, черный, верх Натуральный велюр, подкладка Текстиль	144-06-ZC-01-VT	Материал	8999.00 RUB	Натуральный велюр	true	3999.00 RUB	true	calipso
1	1265	RUB	true	144-12-ZC-06-KK Кроссовки, пол женский, белый, верх Натуральная кожа, подкладка Натуральная кожа	144-12-ZC-06-KK	Материал	7999.00 RUB	Натуральная кожа	true	2399.00 RUB	true	calipso
1	1265	RUB	true	144-14-ZC-10-LK Кроссовки, пол женский, розовый, верх Натуральная кожа, подкладка Натуральная кожа	144-14-ZC-10-LK	Материал	8499.00 RUB	Натуральная кожа	true	2499.00 RUB	true	calipso
1	1265	RUB	true	144-14-ZC-17-LK Кроссовки, пол женский, голубой, верх Натуральная кожа, подкладка Натуральная кожа	144-14-ZC-17-LK	Материал	8499.00 RUB	Натуральная кожа	true	2469.00 RUB	true	calipso
1	1274	RUB	true	144-16-IG-14-PP Обувь Туфли женские с открытой пяточной частью Желтый верх Искусcтвенная кожа. подкладка Искусcтвенная кожа.	144-16-IG-14-PP	Материал	4999.00 RUB	Искусственная кожа	true	1469.00 RUB	true	calipso
1	1269	RUB	true	14444-10646-BAL-03-PP Обувь Туфли женские открытые ремешковые Бежевый верх Искусcтвенная кожа. подкладка Искусcтвенная кожа.	14444-10646-BAL-03-PP	Материал	3499.00 RUB	Искусственная кожа	true	999.00 RUB	true	calipso
1	1269	RUB	true	14444-10646-BAL-06-PP Обувь Туфли женские открытые ремешковые Белый верх Искусcтвенная кожа. подкладка Искусcтвенная кожа.	14444-10646-BAL-06-PP	Материал	3499.00 RUB	Искусственная кожа	true	799.00 RUB	true	calipso
1	1255	RUB	true	147-01-TMB-01-KU Полуботинки, пол женский, черный, верх Натуральная кожа, подкладка Без подкладки	147-01-TMB-01-KU	Материал	7999.00 RUB	Натуральная кожа	true	4999.00 RUB	true	calipso
1	1304	RUB	true	148-02-ZC-15-VBM Ботфорты, пол женский, серый, верх Натуральный велюр, подкладка Евромех	148-02-ZC-15-VBM	Материал	17999.00 RUB	Натуральный велюр	true	8999.00 RUB	true	calipso
1	1256	RUB	true	148-11-ZC-15-KK Ботильоны, пол женский, серый, верх Натуральная кожа, подкладка Натуральная кожа	148-11-ZC-15-KK	Материал	12499.00 RUB	Натуральная кожа	true	5999.00 RUB	true	calipso
1	1256	RUB	true	148-14-ZC-01-VK Ботильоны, пол женский, черный, верх Натуральный велюр, подкладка Натуральная кожа	148-14-ZC-01-VK	Материал	11999.00 RUB	Натуральный велюр	true	7499.00 RUB	true	calipso
1	1295	RUB	true	149-02-ZC-01-KBM Сапоги, пол женский, черный, верх Натуральная кожа, подкладка Евромех	149-02-ZC-01-KBM	Материал	14999.00 RUB	Натуральная кожа	true	7499.00 RUB	true	calipso
1	1290	RUB	true	151-01-TON-01-KM Полусапоги, пол женский, черный, верх Натуральная кожа, подкладка Натуральный мех	151-01-TON-01-KM	Материал	12999.00 RUB	Натуральная кожа	true	6499.00 RUB	true	calipso
1	1290	RUB	true	151-01-TON-02-DM Полусапоги, пол женский, коричневый, верх Дубленка, подкладка Натуральный мех	151-01-TON-02-DM	Материал	12999.00 RUB	Натуральная кожа	true	6499.00 RUB	true	calipso
1	1295	RUB	true	151-02-GL-01-NBM Сапоги, пол женский, черный, верх Натуральный нубук, подкладка Евромех	151-02-GL-01-NBM	Материал	18999.00 RUB	Натуральная кожа	true	9499.00 RUB	true	calipso
1	1295	RUB	true	151-02-GL-16-NBM Сапоги, пол женский, синий, верх Натуральный нубук, подкладка Евромех	151-02-GL-16-NBM	Материал	18999.00 RUB	Натуральная кожа	true	9499.00 RUB	true	calipso
1	1276	RUB	true	151-05-GL-01-CM Ботинки, пол женский, черный, верх Спилок, подкладка Натуральный мех	151-05-GL-01-CM	Материал	11999.00 RUB	Натуральная кожа	true	5999.00 RUB	true	calipso
1	1276	RUB	true	151-05-GL-01-KM Ботинки, пол женский, черный, верх Натуральная кожа, подкладка Натуральный мех	151-05-GL-01-KM	Материал	12999.00 RUB	Натуральная кожа	true	6499.00 RUB	true	calipso
1	1295	RUB	true	151-08-GL-01-KBM Сапоги, пол женский, черный, верх Натуральная кожа, подкладка Евромех	151-08-GL-01-KBM	Материал	19999.00 RUB	Натуральная кожа	true	9999.00 RUB	true	calipso
1	1280	RUB	true	151-101286-288 Сумка Жен., цвет: розовый 28х11х20 см, верх: Искусственная кожа, пр-ль: КИТАЙ	151-101286-288	Материал	3499.00 RUB	Искусственная кожа	true	1749.00 RUB	true	calipso
1	1276	RUB	true	152-06-GL-31-KB Ботинки, пол женский, никель, верх Натуральная кожа, подкладка Байка	152-06-GL-31-KB	Материал	12499.00 RUB	Натуральная кожа	true	4999.00 RUB	true	calipso
